name,latitude,longitude,isActive
Alice Johnson (Delhi),28.6139,77.2090,true
Bob Smith (Delhi),28.6350,77.2250,true
Frank Lee (Mumbai),19.0760,72.8777,true
Mr. Invalid Geo,120.555,200.555,true
Missing GPS,NaN,NaN,true
Agent 0,34.877359732448944,88.12465276387785,true
Agent 1,23.121463018654957,79.61026446378281,true
Agent 2,23.416259662070317,84.78133211758134,true
Agent 3,28.080355364133922,92.92878213593565,true
Agent 4,14.89582434186722,75.52161376857455,true
Agent 5,32.435401934514736,75.45608222673849,true
Agent 6,17.697718406036415,80.44689652710748,true
Agent 7,29.76234163478992,86.07167192926144,true
Agent 8,24.676113865872853,84.54617237693128,true
Agent 9,36.89257500069269,76.19879665932893,true
Agent 10,20.982266238437177,88.43030371169722,true
Agent 11,29.900555474776812,91.40946152919555,true
Agent 12,36.253680817601925,85.78464345848535,true
Agent 13,20.179708551737576,81.41822595805039,true
Agent 14,15.714213035989395,82.11287843572569,true
Agent 15,20.06691698754795,73.65496461646799,true
Agent 16,14.027809917953576,71.22415313655857,true
Agent 17,17.51970603376401,91.58450284641859,true
Agent 18,11.006490943125431,72.50304697781432,true
Agent 19,19.038109236690225,85.1814579591567,true
Agent 20,29.363027026342735,96.86933949361654,true
Agent 21,36.61356444603087,75.57305709308879,true
Agent 22,24.731227780626046,70.9837094573928,true
Agent 23,30.226834632787806,68.86306377579452,true
Agent 24,15.958410641027585,69.35495095262705,true
Agent 25,28.70261162359617,76.79353287870126,true
Agent 26,18.560184221796405,72.66507393573521,true
Agent 27,31.317700510265865,76.83916871201009,true
Agent 28,13.46573977264115,94.13372853754991,true
Agent 29,32.865047881609044,75.82883258893911,true
Agent 30,21.190434159795153,78.25779011499492,true
Agent 31,30.65211503498864,80.2862930664081,true
Agent 32,31.70175932672171,70.48989428419168,true
Agent 33,36.178739404310704,92.68332409727893,true
Agent 34,19.578500753711282,68.50379088589717,true
Agent 35,26.481008160964613,74.75988302026443,true
Agent 36,12.675301568694076,79.09291792271235,true
Agent 37,30.97566077466944,94.88903140692268,true
Agent 38,29.165377119212117,75.67086044458816,true
Agent 39,22.51396128688758,93.22016862511282,true
Agent 40,13.901246557372373,94.01678439454972,true
Agent 41,16.625303846559213,86.76520793202833,true
Agent 42,34.241805029118225,89.67312511165578,true
Agent 43,14.629163521677667,73.3248467866426,true
Agent 44,36.112442126914914,73.68862807203845,true
Agent 45,12.739427424068932,72.22209204391174,true
Agent 46,25.447063810382243,85.65584160658034,true
Agent 47,12.094762975175598,95.05309424649502,true
Agent 48,34.2842857789113,95.19835853080488,true
Agent 49,19.20692180712542,93.92572657893874,true
Agent 50,32.06789354318643,78.26368439544308,true
Agent 51,26.031434656487637,86.82614341666363,true
Agent 52,15.926463740816054,73.2232543607015,true
Agent 53,8.395261985224424,74.24479865748413,true
Agent 54,20.396578443640344,94.59262371591626,true
Agent 55,21.346590091479275,77.2978289458902,true
Agent 56,32.30744640076098,90.06476711766514,true
Agent 57,8.372876360293326,94.49199003784544,true
Agent 58,31.21812800747952,95.42777268646233,true
Agent 59,24.020528714312217,72.28340354907154,true
Agent 60,16.4912292528019,70.73064047034421,true
Agent 61,32.981794849900396,77.11716864914473,true
Agent 62,9.05250312650324,90.07740386150654,true
Agent 63,19.687631433416872,84.13089727716904,true
Agent 64,23.783151401660085,80.42614696515928,true
Agent 65,20.601610972683247,84.32978732764639,true
Agent 66,14.953220132751957,93.04453333905877,true
Agent 67,8.27770597992967,79.19382387292423,true
Agent 68,23.816507059095063,79.90063816661605,true
Agent 69,16.370258739125926,88.58892105811033,true
Agent 70,31.38790830402682,79.83402934530122,true
Agent 71,14.683035824747527,78.73311512273743,true
Agent 72,33.62132492400784,68.97863309525991,true
Agent 73,19.093250130375264,77.86986137296584,true
Agent 74,14.387036164075823,69.82700066923269,true
Agent 75,22.117877437519226,82.59983298508519,true
Agent 76,10.722659571235972,71.12678276190509,true
Agent 77,30.115649917675416,87.50818886840105,true
Agent 78,31.690531676314635,68.93713704227878,true
Agent 79,8.679498208715108,75.31014226388464,true
Agent 80,8.563873102767646,90.1875769334258,true
Agent 81,9.031326098758363,93.3998776519629,true
Agent 82,30.878519263160218,94.8663962249893,true
Agent 83,33.726994589713144,87.28747291906444,true
Agent 84,10.859785688882877,75.75153767916835,true
Agent 85,28.679829325622062,96.64877230989515,true
Agent 86,30.67228564761674,80.11045070470165,true
Agent 87,23.13270300104099,85.0580808888839,true
Agent 88,24.48777863848507,82.92400789581757,true
Agent 89,27.035566937542903,94.36803545250422,true
Agent 90,8.195169736746184,84.89600313752739,true
Agent 91,10.78523824973658,96.5932323809316,true
Agent 92,8.652486862544574,70.91600649185342,true
Agent 93,8.950804981947938,77.61526213185046,true
Agent 94,35.859898828449964,72.14867867598679,true
Agent 95,15.369678779681106,96.79153044710478,true
Agent 96,14.793896800523612,78.0141123373817,true
Agent 97,20.174343110173773,93.6154177995265,true
Agent 98,22.54584086178208,72.03054278707334,true
Agent 99,8.646716217519728,76.3893893069651,true
Agent 100,30.75849119829178,88.05601595371593,true
Agent 101,18.7600529701025,96.79930353366166,true
Agent 102,31.65405853884891,75.48427669240296,true
Agent 103,30.84504525191187,79.22190622819767,true
Agent 104,23.61185276709807,95.44032964943176,true
Agent 105,34.96331107431608,89.37676658466991,true
Agent 106,29.575300195391165,80.983042922912,true
Agent 107,34.56059555683514,77.74011948503822,true
Agent 108,15.064322555706418,70.28721612142154,true
Agent 109,16.047713326548973,96.58899138797727,true
Agent 110,12.706864194288574,88.04581135020578,true
Agent 111,24.473546498563255,92.84796979097565,true
Agent 112,34.98832661922865,90.37170531737621,true
Agent 113,19.418919087796375,84.17603974083013,true
Agent 114,36.50248646682001,81.55767552127247,true
Agent 115,25.164128677483276,92.49285690266228,true
Agent 116,9.018681773778727,80.42270832697774,true
Agent 117,24.226812786421068,90.32710987108598,true
Agent 118,27.38525694502278,73.17571433188805,true
Agent 119,22.746043149992794,81.7743709378247,true
Agent 120,17.936093388251656,90.49044517937494,true
Agent 121,15.106392250387973,81.50703826016758,true
Agent 122,12.34803029016127,96.19599857654207,true
Agent 123,28.05441959349702,85.19316031535237,true
Agent 124,32.53318975159547,79.49657818996269,true
Agent 125,13.576794142103324,91.25743297767028,true
Agent 126,30.49563189386634,77.63982841191607,true
Agent 127,28.333068696406805,69.06345654452655,true
Agent 128,12.083219398013355,69.99036358679786,true
Agent 129,22.64818626459552,89.4035158163855,true
Agent 130,35.28817263412846,94.99598054795908,true
Agent 131,33.22139117165921,73.99705439391937,true
Agent 132,15.512967709790253,87.69353757652412,true
Agent 133,22.5764269341357,92.43073945267,true
Agent 134,30.339909382092472,72.79101496190681,true
Agent 135,12.304866531526597,72.62996711061432,true
Agent 136,22.953237501572048,78.94304479845644,true
Agent 137,22.10696437741901,77.17353865035507,true
Agent 138,23.671250441566464,69.50536995614908,true
Agent 139,33.85811987589342,81.26323553153416,true
Agent 140,32.22088250767781,76.68906364241712,true
Agent 141,11.987071764818946,90.6552358968229,true
